6:C 09 Oct 10:03:38.525 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
6:C 09 Oct 10:03:38.525 # Redis version=4.0.11, bits=64, commit=00000000, modified=0, pid=6, just started
6:C 09 Oct 10:03:38.525 # Configuration loaded
6:M 09 Oct 10:03:38.527 * No cluster configuration found, I'm 954cdc57c901694de9d4f31122b83fd0de042ff6
6:M 09 Oct 10:03:38.561 * Running mode=cluster, port=6379.
6:M 09 Oct 10:03:38.561 # WARNING: The TCP backlog setting of 511 cannot be enforced because /proc/sys/net/core/somaxconn is set to the lower value of 128.
6:M 09 Oct 10:03:38.561 # Server initialized
6:M 09 Oct 10:03:38.562 # WARNING overcommit_memory is set to 0! Background save may fail under low memory condition. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
6:M 09 Oct 10:03:38.562 # WARNING you have Transparent Huge Pages (THP) support enabled in your kernel. This will create latency and memory usage issues with Redis. To fix this issue run the command 'echo never > /sys/kernel/mm/transparent_hugepage/enabled' as root, and add it to your /etc/rc.local in order to retain the setting after a reboot. Redis must be restarted after THP is disabled.
6:M 09 Oct 10:03:38.562 * Ready to accept connections
6:M 09 Oct 10:13:19.284 # configEpoch set to 5 via CLUSTER SET-CONFIG-EPOCH
6:S 09 Oct 10:13:23.380 * Before turning into a slave, using my master parameters to synthesize a cached master: I may be able to synchronize with the new master with just a partial transfer.
6:S 09 Oct 10:13:23.380 # Cluster state changed: ok
6:S 09 Oct 10:13:23.608 * Connecting to MASTER 101.200.56.53:6393
6:S 09 Oct 10:13:23.608 * MASTER <-> SLAVE sync started
6:S 09 Oct 10:13:23.609 * Non blocking connect for SYNC fired the event.
6:S 09 Oct 10:13:23.611 * Master replied to PING, replication can continue...
6:S 09 Oct 10:13:23.618 * Trying a partial resynchronization (request 56b6ab0ecdfef9e6b349f796d44ada2fff4efba7:1).
6:S 09 Oct 10:13:23.622 * Full resync from master: 1500c43378c97bb6050ee89612dfac347debfab8:0
6:S 09 Oct 10:13:23.622 * Discarding previously cached master state.
6:S 09 Oct 10:13:23.704 * MASTER <-> SLAVE sync: receiving 176 bytes from master
6:S 29 Feb 04:08:13.613 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.666 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.717 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.769 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.824 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.878 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.930 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:13.982 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:14.032 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:14.087 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:14.138 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:14.190 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:14.240 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.319 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.372 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.423 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.472 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.525 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.576 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.626 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:19.680 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:09:53.968 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.611 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.662 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.713 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.765 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.817 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.870 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.924 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:03.975 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.028 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.086 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.137 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.189 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.244 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.297 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.347 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.402 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.458 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.509 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.561 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.614 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.666 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.718 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.774 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.825 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.875 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.925 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:04.976 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.028 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.078 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.128 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.180 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.229 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.279 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.328 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.379 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.436 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.495 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.550 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.607 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.663 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.714 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.769 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.819 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.872 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.929 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:05.976 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.027 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.079 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.137 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.190 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.244 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.296 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.347 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.400 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.461 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.516 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.572 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.629 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.680 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.732 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.785 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.837 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.887 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.939 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:06.991 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.047 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.102 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.161 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.214 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.267 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.322 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.379 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.432 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.484 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.537 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.593 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.646 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.700 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.752 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.800 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.851 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.908 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:07.961 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.009 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.063 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.122 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.178 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.232 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.287 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.345 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.403 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.458 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.510 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:08.561 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:10:13.930 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.534 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.585 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.639 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.696 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.749 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:04.797 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:19.899 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:19.949 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:19.998 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.049 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.101 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.158 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.216 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.274 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.326 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.378 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.430 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.486 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.538 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.591 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.643 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.693 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:20.746 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:25.829 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:25.882 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:25.932 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:25.981 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:26.030 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:26.080 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:31.157 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:31.210 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:36.288 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:36.343 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:36.395 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:36.447 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:51.587 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:51.644 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:51.694 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:51.743 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:51.794 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:56.877 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:56.934 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:56.984 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:03:57.038 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.116 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.169 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.219 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.267 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.322 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.373 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.428 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.480 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:02.533 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:07.605 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:07.654 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:17.757 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:17.807 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:17.858 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:22.936 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.016 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.075 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.129 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.179 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.231 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.283 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.333 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.383 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.434 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.484 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.538 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.590 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:28.643 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.721 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.773 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.824 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.875 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.926 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:33.982 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:34.035 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:34.087 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:47.939 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.208 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.260 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.314 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.371 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.429 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.482 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.536 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.588 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.641 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.697 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.749 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.801 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.851 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.906 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:58.965 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.024 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.077 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.129 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.186 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.241 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.299 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.357 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.414 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.466 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.518 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.570 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.621 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.675 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.732 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.785 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.835 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.885 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.937 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:04:59.991 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:05:00.043 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:05:00.096 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 12:05:00.146 # Bad message length or signature received from Cluster bus.
